 (1.246775777038064261e+05+2.268573285925959135e+04j)  (-6.446859646478970535e+04-2.426411850286184563e+04j)
 (-1.035622199770286352e+04-1.263008164128433127e+05j)  (6.796349520333363034e+04-1.122099806406894641e+04j)
 (-1.193161904478006472e+05+4.269217450908968749e+04j)  (-5.324733916616386705e+04+4.369923528695512505e+04j)
 (7.211855435193348967e+04+1.042008391052273510e+05j)  (2.426399131364205823e+04-6.446806589532797807e+04j)
 (8.198453628339219722e+04-9.663024570739881892e+04j)  (1.122080785078435292e+04+6.796296039089524129e+04j)
 (-1.145568859295945731e+05-5.418123417971654999e+04j)  (-4.369906450273870723e+04-5.324723114352734410e+04j)
 (-2.268559173421399100e+04+1.246765028053711139e+05j)  (6.446801956031270674e+04+2.426401469428700511e+04j)
 (1.262999210043462517e+05-1.035604620291128595e+04j)  (-6.796305874940955255e+04+1.122074599017367655e+04j)
 (-4.269200973582923325e+04-1.193159837803978589e+05j)  (5.324734006773467991e+04-4.369899541988757846e+04j)
 (-1.042009867428087164e+05+7.211861784804929630e+04j)  (-2.426409101976548845e+04+6.446815442422885826e+04j)
 (9.663038780858130485e+04+8.198468913590446755e+04j)  (-1.122078747494373238e+04-6.796306727145842160e+04j)
 (5.418137719868551358e+04-1.145570432562174537e+05j)  (4.369901979208602279e+04+5.324736328651716758e+04j)
 (-1.246767671005952288e+05-2.268557693261366148e+04j)  (-6.446820116378857347e+04-2.426395618201875914e+04j)
 (1.035608764812469417e+04+1.262998342318044888e+05j)  (6.796309103914521984e+04-1.122084297797264298e+04j)
 (1.193158169812263513e+05-4.269201312778872671e+04j)  (-5.324715717514823336e+04+4.369901840181968873e+04j)
 (-7.211834922613765229e+04-1.042005758883715316e+05j)  (2.426397159779967478e+04-6.446789957001191215e+04j)
 (-8.198437594502746651e+04+9.663009312806949310e+04j)  (1.122084319639031310e+04+6.796281573000637582e+04j)
 (1.145563412998896674e+05+5.418101268910883664e+04j)  (-4.369880633646010392e+04-5.324701240374633926e+04j)
 (2.268541781715565594e+04-1.246759014998013590e+05j)  (6.446775626652697974e+04+2.426377548048341123e+04j)
 (-1.262987428575410595e+05+1.035598915921492880e+04j)  (-6.796241294855691376e+04+1.122070259347876163e+04j)
 (4.269168440299553913e+04+1.193148290412693605e+05j)  (5.324673528513396741e+04-4.369871794062591653e+04j)
 (1.041997291480529821e+05-7.211781736263171479e+04j)  (-2.426370420870562521e+04+6.446744310673723521e+04j)
 (-9.662919193621244631e+04-8.198361894550781290e+04j)  (-1.122072876464317960e+04-6.796219061663319007e+04j)
 (-5.418053857761384279e+04+1.145554223176435626e+05j)  (4.369849804610123101e+04+5.324652800877754635e+04j)
 (1.246749370114975027e+05+2.268527707319671026e+04j)  (-6.446723699054290773e+04-2.426365610757895774e+04j)
 (-1.035588633072650009e+04-1.262989705206597428e+05j)  (6.796258799975487636e+04-1.122046854706396698e+04j)
 (-1.193165709341774782e+05+4.269207672736597306e+04j)  (-5.324773737331087614e+04+4.369896221482419060e+04j)
 (7.211951409455020621e+04+1.042023621499036817e+05j)  (2.426449152735898679e+04-6.446900453761925019e+04j)
 (8.198590311727841618e+04-9.663180191083105456e+04j)  (1.122094103716962127e+04+6.796410451082704822e+04j)
 (-1.145587408457419369e+05-5.418214029178015335e+04j)  (-4.369971386154941865e+04-5.324811120222884347e+04j)
 (-2.268581378177342776e+04+1.246783459240799421e+05j)  (6.446903461345036339e+04+2.426415341251238715e+04j)
 (1.263011546931944031e+05-1.035622836331543476e+04j)  (-6.796371737942789332e+04+1.122100523856243490e+04j)
 (-4.269257533827667794e+04-1.193175525671794167e+05j)  (5.324799752482862095e+04-4.369951594273212686e+04j)
 (-1.042025755888298154e+05+7.211987309330303106e+04j)  (-2.426423496114287991e+04+6.446926101525410922e+04j)
 (9.663168465297807415e+04+8.198565552758546255e+04j)  (-1.122112612791698484e+04-6.796388308017869713e+04j)
 (5.418175176227268821e+04-1.145580335787184595e+05j)  (4.369949929613465065e+04+5.324769360489852261e+04j)
 (-1.246777042764760117e+05-2.268580850922675745e+04j)  (-6.446859559783757140e+04-2.426421773235791625e+04j)
 (1.035619259805382899e+04+1.263007534030180395e+05j)  (6.796350378540679230e+04-1.122096290568693075e+04j)
 (1.193164735246284254e+05-4.269226048086712399e+04j)  (-5.324746209532940702e+04+4.369929428068825655e+04j)
 (-7.211893959476980672e+04-1.042012438660211046e+05j)  (2.426395030397787195e+04-6.446844768557899079e+04j)
 (-8.198492619011494389e+04+9.663061673243100813e+04j)  (1.122075132810926152e+04+6.796328959046448290e+04j)
 (1.145574437388204533e+05+5.418146145992989477e+04j)  (-4.369930439696108806e+04-5.324740802501756116e+04j)
 (2.268546250783952564e+04-1.246765250020620588e+05j)  (6.446807181696545740e+04+2.426374456222174922e+04j)
 (-1.262991443640986836e+05+1.035608794256179499e+04j)  (-6.796260585446153709e+04+1.122086602090918677e+04j)
 (4.269167613696616172e+04+1.193147481652153656e+05j)  (5.324664461162241059e+04-4.369870136324208579e+04j)
 (1.041993602300239145e+05-7.211761262332870683e+04j)  (-2.426354502103550476e+04+6.446727326951148279e+04j)
 (-9.662921748152247164e+04-8.198376452387304744e+04j)  (-1.122053996790817473e+04-6.796219137108844006e+04j)
 (-5.418087425591455394e+04+1.145558781832714303e+05j)  (4.369851709842420678e+04+5.324689137823683268e+04j)
 (1.246758259932225337e+05+2.268544175635068314e+04j)  (-6.446769526738140848e+04-2.426381988654648740e+04j)
 (-1.035598825460479748e+04-1.262990454733574443e+05j)  (6.796256074519002868e+04-1.122067711202890496e+04j)
 (-1.193156799551304284e+05+4.269190536900709412e+04j)  (-5.324721524328620580e+04+4.369889087924054184e+04j)
 (7.211864664880413329e+04+1.042010208394179353e+05j)  (2.426408809765223850e+04-6.446819160063070012e+04j)
 (8.198473784322277061e+04-9.663041523181099910e+04j)  (1.122077005487684801e+04+6.796314248530924669e+04j)
 (-1.145569589476631081e+05-5.418129050059298606e+04j)  (-4.369907837137743627e+04-5.324729243504374608e+04j)
